member_id,group_name,member_name,search_hint,include_terms,exclude_terms
p1harmony__jiung,P1Harmony,Jiung,"""피원하모니"" 지웅",,
p1harmony__intak,P1Harmony,Intak,"""피원하모니"" 인탁",,
p1harmony__soul,P1Harmony,Soul,"""피원하모니"" 소울",,
p1harmony__jongseob,P1Harmony,Jongseob,"""피원하모니"" 종섭",,
treasure__choi_hyunsuk,TREASURE,Choi Hyunsuk,"""트레저"" 최현석",,
treasure__jihoon,TREASURE,Jihoon,"""트레저"" 지훈",트레저|지훈,
treasure__yoshi,TREASURE,Yoshi,"""트레저"" 요시",,
treasure__junkyu,TREASURE,Junkyu,"""트레저"" 준규",,
treasure__jaehyuk,TREASURE,Jaehyuk,"""트레저"" 재혁",,
treasure__asahi,TREASURE,Asahi,"""트레저"" 아사히",,
treasure__doyoung,TREASURE,Doyoung,"""트레저"" 도영",트레저|도영,
treasure__haruto,TREASURE,Haruto,"""트레저"" 하루토",,
treasure__jeongwoo,TREASURE,Jeongwoo,"""트레저"" 정우",트레저|정우,
treasure__junghwan,TREASURE,Junghwan,"""트레저"" 정환",,
cravity__serim,CRAVITY,Serim,"""크래비티"" 세림",,
cravity__allen,CRAVITY,Allen,"""크래비티"" 앨런",,
cravity__jungmo,CRAVITY,Jungmo,"""크래비티"" 정모",,
cravity__woobin,CRAVITY,Woobin,"""크래비티"" 우빈",,
cravity__wonjin,CRAVITY,Wonjin,"""크래비티"" 원진",,
cravity__minhee,CRAVITY,Minhee,"""크래비티"" 민희",,
cravity__hyeongjun,CRAVITY,Hyeongjun,"""크래비티"" 형준",,
cravity__taeyoung,CRAVITY,Taeyoung,"""크래비티"" 태영",,
cravity__seongmin,CRAVITY,Seongmin,"""크래비티"" 성민",,
dkb__e_chan,DKB,E-Chan,"""다크비"" 이찬",,
dkb__d1,DKB,D1,"""다크비"" 디원",,
dkb__gk,DKB,GK,"""다크비"" 지케이",,
dkb__lune,DKB,Lune,"""다크비"" 룬",,
dkb__junseo,DKB,Junseo,"""다크비"" 준서",,
dkb__yuku,DKB,Yuku,"""다크비"" 유쿠",,
dkb__harry_june,DKB,Harry June,"""다크비"" 해리준",,
dkb__heechan,DKB,Heechan,"""다크비"" 희찬",,
elast__rano,E'LAST,Rano,"""엘라스트"" 라노",,
elast__choi_in,E'LAST,Choi In,"""엘라스트"" 최인",,
elast__baekgyeul,E'LAST,Baekgyeul,"""엘라스트"" 백결",,
elast__romin,E'LAST,Romin,"""엘라스트"" 로민",,
elast__won_hyuk,E'LAST,Won Hyuk,"""엘라스트"" 원혁",,
elast__wonjun,E'LAST,Wonjun,"""엘라스트"" 원준",,
elast__yejun,E'LAST,Yejun,"""엘라스트"" 예준",,
bae173__yoojun,BAE173,Yoojun,"""BAE173"" 유준",,
bae173__muzin,BAE173,Muzin,"""BAE173"" 무진",,
bae173__j_min,BAE173,J-Min,"""BAE173"" 제이민",,
bae173__junseo,BAE173,Junseo,"""BAE173"" 준서",,
bae173__youngseo,BAE173,Youngseo,"""BAE173"" 영서",,
bae173__bit,BAE173,Bit,"""BAE173"" 빛",,
bae173__doha,BAE173,Doha,"""BAE173"" 도하",,
drippin__hyeop,DRIPPIN,Hyeop,"""드리핀"" 협",,
drippin__yunseong,DRIPPIN,Yunseong,"""드리핀"" 윤성",,
drippin__changuk,DRIPPIN,Changuk,"""드리핀"" 창욱",,
drippin__dongyun,DRIPPIN,Dongyun,"""드리핀"" 동윤",,
drippin__minseo,DRIPPIN,Minseo,"""드리핀"" 민서",,
drippin__junho,DRIPPIN,Junho,"""드리핀"" 준호",,
ghost9__junhyung,GHOST9,Junhyung,"""고스트나인"" 준형",,
ghost9__junseong,GHOST9,Junseong,"""고스트나인"" 준성",,
ghost9__kangsung,GHOST9,Kangsung,"""고스트나인"" 강성",,
ghost9__shin,GHOST9,Shin,"""고스트나인"" 이신",,
ghost9__prince,GHOST9,Prince,"""고스트나인"" 프린스",,
ghost9__woojin,GHOST9,Woojin,"""고스트나인"" 우진",,
ghost9__jinwoo,GHOST9,Jinwoo,"""고스트나인"" 진우",,
lucy__sangyeop,LUCY,Sangyeop,"""루시"" 상엽",,
lucy__yechan,LUCY,Yechan,"""루시"" 예찬",,
lucy__wonsang,LUCY,Wonsang,"""루시"" 원상",,
lucy__gwangil,LUCY,Gwangil,"""루시"" 광일",,
mcnd__castle_j,MCND,Castle J,"""엠씨엔디"" 캐슬제이",,
mcnd__bic,MCND,BIC,"""엠씨엔디"" 빅",,
mcnd__minjae,MCND,Minjae,"""엠씨엔디"" 민재",,
mcnd__huijun,MCND,Huijun,"""엠씨엔디"" 휘준",,
mcnd__win,MCND,Win,"""엠씨엔디"" 윈",,
wei__daehyeon,WEi,Daehyeon,"""위아이"" 대현",,
wei__donghan,WEi,Donghan,"""위아이"" 동한",,
wei__yongha,WEi,Yongha,"""위아이"" 용하",,
wei__yohan,WEi,Yohan,"""위아이"" 요한",,
wei__seokhwa,WEi,Seokhwa,"""위아이"" 석화",,
wei__junseo,WEi,Junseo,"""위아이"" 준서",,
blitzers__jinhwa,BLITZERS,Jinhwa,"""블리처스"" 진화",,
blitzers__wooju,BLITZERS,Wooju,"""블리처스"" 우주",,
blitzers__juhan,BLITZERS,Juhan,"""블리처스"" 주한",,
blitzers__lutan,BLITZERS,Lutan,"""블리처스"" 루탄",,
blitzers__chris,BLITZERS,Chris,"""블리처스"" 크리스",,
blitzers__sya,BLITZERS,Sya,"""블리처스"" 샤",,
epex__wish,EPEX,Wish,"""이펙스"" 위시",,
epex__mu,EPEX,Mu,"""이펙스"" 뮤",,
epex__a_min,EPEX,A-Min,"""이펙스"" 아민",,
epex__baekseung,EPEX,Baekseung,"""이펙스"" 백승",,
epex__ayden,EPEX,Ayden,"""이펙스"" 에이든",,
epex__yewang,EPEX,Yewang,"""이펙스"" 예왕",,
epex__jeff,EPEX,Jeff,"""이펙스"" 제프",,
justb__geonu,JUSTB,Geonu,"""저스트비"" 건우",,
justb__bain,JUSTB,Bain,"""저스트비"" 배인",,
justb__jm,JUSTB,JM,"""저스트비"" JM",,
justb__dy,JUSTB,DY,"""저스트비"" DY",,
justb__jimin,JUSTB,Jimin,"""저스트비"" 지민",저스트비|지민,
justb__san,JUSTB,San,"""저스트비"" 산",,
omega_x__jaehan,OMEGA X,Jaehan,"""오메가엑스"" 재한",,
omega_x__hwichan,OMEGA X,Hwichan,"""오메가엑스"" 휘찬",,
omega_x__sebin,OMEGA X,Sebin,"""오메가엑스"" 세빈",,
omega_x__hangyeom,OMEGA X,Hangyeom,"""오메가엑스"" 송한겸",,
omega_x__taedong,OMEGA X,Taedong,"""오메가엑스"" 태동",,
omega_x__xen,OMEGA X,Xen,"""오메가엑스"" 젠",,
omega_x__jehyun,OMEGA X,Jehyun,"""오메가엑스"" 제현",,
omega_x__kevin,OMEGA X,Kevin,"""오메가엑스"" 케빈",,
omega_x__junghoon,OMEGA X,Junghoon,"""오메가엑스"" 정훈",,
omega_x__hyuk,OMEGA X,Hyuk,"""오메가엑스"" 혁",,
omega_x__yechan,OMEGA X,Yechan,"""오메가엑스"" 예찬",,
the_kingdom__dann,The KingDom,Dann,"""더킹덤"" 단",,
the_kingdom__arthur,The KingDom,Arthur,"""더킹덤"" 아서",,
the_kingdom__mujin,The KingDom,Mujin,"""더킹덤"" 무진",,
the_kingdom__louis,The KingDom,Louis,"""더킹덤"" 루이",,
the_kingdom__ivan,The KingDom,Ivan,"""더킹덤"" 아이반",,
the_kingdom__jahan,The KingDom,Jahan,"""더킹덤"" 자한",,
xdinary_heroes__gunil,Xdinary Heroes,Gunil,"""엑스디너리히어로즈"" 건일",,
xdinary_heroes__jungsu,Xdinary Heroes,Jungsu,"""엑스디너리히어로즈"" 정수",,
xdinary_heroes__gaon,Xdinary Heroes,Gaon,"""엑스디너리히어로즈"" 가온",,
xdinary_heroes__o_de,Xdinary Heroes,O.de,"""엑스디너리히어로즈"" 오드",,
xdinary_heroes__jun_han,Xdinary Heroes,Jun Han,"""엑스디너리히어로즈"" 준한",,
xdinary_heroes__jooyeon,Xdinary Heroes,Jooyeon,"""엑스디너리히어로즈"" 주연",,
and_team__k,&TEAM,K,"""앤팀"" 케이",,
and_team__fuma,&TEAM,Fuma,"""앤팀"" 후마",,
and_team__nicholas,&TEAM,Nicholas,"""앤팀"" 니콜라스",,
and_team__ej,&TEAM,EJ,"""앤팀"" 의주",,
and_team__yuma,&TEAM,Yuma,"""앤팀"" 유마",,
and_team__jo,&TEAM,Jo,"""앤팀"" 조",,
and_team__harua,&TEAM,Harua,"""앤팀"" 하루아",,
and_team__taki,&TEAM,Taki,"""앤팀"" 타키",,
and_team__maki,&TEAM,Maki,"""앤팀"" 마키",,
nine_i__jewon,NINE.i,Jewon,"""나인아이"" 제원",,
nine_i__vahn,NINE.i,Vahn,"""나인아이"" 반",,
nine_i__taehun,NINE.i,Taehun,"""나인아이"" 태훈",,
nine_i__minjun,NINE.i,Minjun,"""나인아이"" 민준",,
nine_i__eden,NINE.i,Eden,"""나인아이"" 이든",,
nine_i__vari,NINE.i,Vari,"""나인아이"" 베리",,
nine_i__jiho,NINE.i,Jiho,"""나인아이"" 지호",,
tan__changsun,TAN,Changsun,"""TAN"" 창선",,
tan__jooan,TAN,Jooan,"""TAN"" 주안",,
tan__jaejun,TAN,Jaejun,"""TAN"" 재준",,
tan__sunghyuk,TAN,Sunghyuk,"""TAN"" 성혁",,
tan__hyunyeop,TAN,Hyunyeop,"""TAN"" 현엽",,
tan__taehoon,TAN,Taehoon,"""TAN"" 태훈",,
tan__jiseong,TAN,Jiseong,"""TAN"" 지성",,
tempest__hanbin,TEMPEST,Hanbin,"""템페스트"" 한빈",,
tempest__hyeongseop,TEMPEST,Hyeongseop,"""템페스트"" 형섭",,
tempest__lew,TEMPEST,Lew,"""템페스트"" 루",,
tempest__eunchan,TEMPEST,Eunchan,"""템페스트"" 은찬",,
tempest__hyuk,TEMPEST,Hyuk,"""템페스트"" 혁",,
tempest__taerae,TEMPEST,Taerae,"""템페스트"" 태래",,
tnx__taehun,TNX,Taehun,"""티엔엑스"" 태훈",,
tnx__hyunsoo,TNX,Hyunsoo,"""티엔엑스"" 현수",,
tnx__sungjun,TNX,Sungjun,"""티엔엑스"" 성준",,
tnx__hwi,TNX,Hwi,"""티엔엑스"" 휘",,
tnx__junhyeok,TNX,Junhyeok,"""티엔엑스"" 준혁",,
trendz__havit,TRENDZ,Havit,"""트렌드지"" 하빛",,
trendz__leon,TRENDZ,Leon,"""트렌드지"" 리온",,
trendz__yoonwoo,TRENDZ,Yoonwoo,"""트렌드지"" 윤우",,
trendz__hankook,TRENDZ,Hankook,"""트렌드지"" 한국",,
trendz__ra_l,TRENDZ,ra.L,"""트렌드지"" 라엘",,
trendz__eunil,TRENDZ,Eunil,"""트렌드지"" 은일",,
trendz__yechan,TRENDZ,Yechan,"""트렌드지"" 예찬",,
younite__eunho,YOUNITE,Eunho,"""유나이트"" 은호",,
younite__eunsang,YOUNITE,Eunsang,"""유나이트"" 은상",,
younite__steve,YOUNITE,Steve,"""유나이트"" 스티브",,
younite__hyungseok,YOUNITE,Hyungseok,"""유나이트"" 형석",,
younite__kyungmun,YOUNITE,Kyungmun,"""유나이트"" 경문",,
younite__dey,YOUNITE,DEY,"""유나이트"" 데이",,
younite__woono,YOUNITE,Woono,"""유나이트"" 우노",,
younite__sion,YOUNITE,Sion,"""유나이트"" 시온",,
zerobaseone__sung_hanbin,ZEROBASEONE,Sung Hanbin,"""제로베이스원"" 성한빈",,
zerobaseone__kim_jiwoong,ZEROBASEONE,Kim Jiwoong,"""제로베이스원"" 김지웅",,
zerobaseone__seok_matthew,ZEROBASEONE,Seok Matthew,"""제로베이스원"" 석매튜",,
zerobaseone__kim_taerae,ZEROBASEONE,Kim Taerae,"""제로베이스원"" 김태래",,
zerobaseone__park_gunwook,ZEROBASEONE,Park Gunwook,"""제로베이스원"" 박건욱",,
nct__taeyong,NCT,Taeyong,"""NCT"" 태용",,
nct__johnny,NCT,Johnny,"""NCT"" 쟈니",,
nct__yuta,NCT,Yuta,"""NCT"" 유타",,
nct__doyoung,NCT,Doyoung,"""NCT"" 도영",NCT|도영,
nct__jaehyun,NCT,Jaehyun,"""NCT"" 재현",NCT|재현,
nct__jungwoo,NCT,Jungwoo,"""NCT"" 정우",NCT|정우,
nct__haechan,NCT,Haechan,"""NCT"" 해찬",,
nct__renjun,NCT,Renjun,"""NCT"" 런쥔",,
nct__jeno,NCT,Jeno,"""NCT"" 제노",,
nct__jaemin,NCT,Jaemin,"""NCT"" 재민",,
nct__chenle,NCT,Chenle,"""NCT"" 천러",,
nct__jisung,NCT,Jisung,"""NCT"" 지성",,
nct__kun,NCT,Kun,"""NCT"" 쿤",,
nct__ten,NCT,Ten,"""NCT"" 텐",,
nct__winwin,NCT,WinWin,"""NCT"" 윈윈",,
nct__xiaojun,NCT,Xiaojun,"""NCT"" 샤오쥔",,
nct__hendery,NCT,Hendery,"""NCT"" 헨드리",,
nct__yangyang,NCT,Yangyang,"""NCT"" 양양",,
the_wind__kim_heesoo,The Wind,Kim Heesoo,"""더윈드"" 김희수",,
the_wind__thanatorn,The Wind,Thanatorn,"""더윈드"" 타나톤",,
the_wind__choi_hanbin,The Wind,Choi Hanbin,"""더윈드"" 최한빈",,
the_wind__park_hayuchan,The Wind,Park Hayuchan,"""더윈드"" 박하유찬",,
the_wind__an_chanwon,The Wind,An Chanwon,"""더윈드"" 안찬원",,
the_wind__jang_hyounjoon,The Wind,Jang Hyounjoon,"""더윈드"" 장현준",,
monsta_x__shownu,MONSTA X,Shownu,"""몬스타엑스"" 셔누",,
monsta_x__minhyuk,MONSTA X,Minhyuk,"""몬스타엑스"" 민혁",몬스타엑스|민혁,
monsta_x__kihyun,MONSTA X,Kihyun,"""몬스타엑스"" 기현",,
monsta_x__hyungwon,MONSTA X,Hyungwon,"""몬스타엑스"" 형원",,
monsta_x__joohoney,MONSTA X,Joohoney,"""몬스타엑스"" 주헌",,
monsta_x__im,MONSTA X,I.M,"""몬스타엑스"" 아이엠",,
evnne__keita,EVNNE,Keita,"""이븐"" 케이타",,
evnne__park_hanbin,EVNNE,Park Hanbin,"""이븐"" 박한빈",,
evnne__lee_jeonghyeon,EVNNE,Lee Jeonghyeon,"""이븐"" 이정현",,
evnne__mun_junghyun,EVNNE,Mun Junghyun,"""이븐"" 문정현",,
evnne__park_jihoo,EVNNE,Park Jihoo,"""이븐"" 박지후",,
hori7on__vinci,HORI7ON,Vinci,"""호라이즌"" 빈치",,
hori7on__kyler,HORI7ON,Kyler,"""호라이즌"" 카일러",,
hori7on__reyster,HORI7ON,Reyster,"""호라이즌"" 레이스터",,
hori7on__winston,HORI7ON,Winston,"""호라이즌"" 윈스턴",,
hori7on__jeromy,HORI7ON,Jeromy,"""호라이즌"" 제로미",,
hori7on__marcus,HORI7ON,Marcus,"""호라이즌"" 마커스",,
hori7on__kim,HORI7ON,Kim,"""호라이즌"" 킴",,
lun8__jinsu,LUN8,Jinsu,"""루네이트"" 진수",,
lun8__yuma,LUN8,Yuma,"""루네이트"" 유우마",,
lun8__chael,LUN8,Chael,"""루네이트"" 카엘",,
lun8__takuma,LUN8,Takuma,"""루네이트"" 타쿠마",,
lun8__junwoo,LUN8,Junwoo,"""루네이트"" 준우",,
lun8__dohyun,LUN8,Dohyun,"""루네이트"" 도현",,
lun8__ian,LUN8,Ian,"""루네이트"" 이안",,
one_pact__jongwoo,ONE PACT,Jongwoo,"""원팩트"" 종우",,
one_pact__jay_chang,ONE PACT,Jay Chang,"""원팩트"" 제이창",,
one_pact__seongmin,ONE PACT,Seongmin,"""원팩트"" 성민",,
one_pact__tag,ONE PACT,TAG,"""원팩트"" 태그",,
one_pact__yedam,ONE PACT,Yedam,"""원팩트"" 예담",,
tiot__kim_minseoung,TIOT,Kim Minseoung,"""티아이오티"" 김민성",,
tiot__kum_junhyeon,TIOT,Kum Junhyeon,"""티아이오티"" 금준현",,
tiot__hong_keonhee,TIOT,Hong Keonhee,"""티아이오티"" 홍건희",,
tiot__choi_woojin,TIOT,Choi Woojin,"""티아이오티"" 최우진",,
tiot__shin_yechan,TIOT,Shin Yechan,"""티아이오티"" 신예찬",,
whib__kim_junmin,WHIB,Kim Junmin,"""휘브"" 김준민",,
whib__haseung,WHIB,Haseung,"""휘브"" 하승",,
whib__jinbeom,WHIB,Jinbeom,"""휘브"" 진범",,
whib__ugeon,WHIB,UGeon,"""휘브"" 유건",,
whib__leejeong,WHIB,Leejeong,"""휘브"" 이정",,
whib__jaeha,WHIB,Jaeha,"""휘브"" 재하",,
whib__wonjun,WHIB,Wonjun,"""휘브"" 원준",,
xodiac__lex,XODIAC,Lex,"""소디엑"" 렉스",,
xodiac__hyunsik,XODIAC,Hyunsik,"""소디엑"" 현식",,
xodiac__zayyan,XODIAC,Zayyan,"""소디엑"" 자얀",,
xodiac__beomsoo,XODIAC,Beomsoo,"""소디엑"" 범수",,
xodiac__wain,XODIAC,Wain,"""소디엑"" 웨인",,
xodiac__gyumin,XODIAC,Gyumin,"""소디엑"" 규민",,
xodiac__sing,XODIAC,Sing,"""소디엑"" 씽",,
xodiac__davin,XODIAC,Davin,"""소디엑"" 다빈",,
xodiac__leo,XODIAC,Leo,"""소디엑"" 리오",,
xikers__minjae,xikers,Minjae,"""싸이커스"" 민재",,
xikers__sumin,xikers,Sumin,"""싸이커스"" 수민",,
xikers__jinsik,xikers,Jinsik,"""싸이커스"" 진식",,
xikers__hunter,xikers,Hunter,"""싸이커스"" 헌터",,
xikers__junmin,xikers,Junmin,"""싸이커스"" 준민",,
xikers__yujun,xikers,Yujun,"""싸이커스"" 유준",,
xikers__seeun,xikers,Seeun,"""싸이커스"" 세은",,
xikers__hyunwoo,xikers,Hyunwoo,"""싸이커스"" 현우",,
xikers__junghoon,xikers,Junghoon,"""싸이커스"" 정훈",,
xikers__yechan,xikers,Yechan,"""싸이커스"" 예찬",,
n_ssign__kazuta,n.SSign,Kazuta,"""엔싸인"" 카즈타",,
n_ssign__doha,n.SSign,Doha,"""엔싸인"" 도하",,
n_ssign__sungyun,n.SSign,Sungyun,"""엔싸인"" 성윤",,
n_ssign__robin,n.SSign,Robin,"""엔싸인"" 로빈",,
n_ssign__hanjun,n.SSign,Hanjun,"""엔싸인"" 한준",,
n_ssign__laurence,n.SSign,Laurence,"""엔싸인"" 로렌스",,
n_ssign__huiwon,n.SSign,Huiwon,"""엔싸인"" 희원",,
eight_turn__myungho,8TURN,Myungho,"""에잇턴"" 명호",,
eight_turn__jaeyun,8TURN,Jaeyun,"""에잇턴"" 재윤",,
eight_turn__minho,8TURN,Minho,"""에잇턴"" 민호",,
eight_turn__yoonsung,8TURN,Yoonsung,"""에잇턴"" 윤성",,
eight_turn__haemin,8TURN,Haemin,"""에잇턴"" 해민",,
eight_turn__kyungmin,8TURN,Kyungmin,"""에잇턴"" 경민",,
eight_turn__yungyu,8TURN,Yungyu,"""에잇턴"" 윤규",,
eight_turn__seungheon,8TURN,Seungheon,"""에잇턴"" 승헌",,
eighty_two_major__seongil,82MAJOR,Seongil,"""팔이메이저"" 성일",,
eighty_two_major__yechan,82MAJOR,Yechan,"""팔이메이저"" 예찬",,
eighty_two_major__seongmo,82MAJOR,Seongmo,"""팔이메이저"" 성모",,
eighty_two_major__seongbin,82MAJOR,Seongbin,"""팔이메이저"" 성빈",,
eighty_two_major__seokjoon,82MAJOR,Seokjoon,"""팔이메이저"" 석준",,
eighty_two_major__dogyun,82MAJOR,Dogyun,"""팔이메이저"" 도균",,
nct_wish__sion,NCT WISH,Sion,"""엔시티위시"" 시온",,
nct_wish__riku,NCT WISH,Riku,"""엔시티위시"" 리쿠",,
nct_wish__yushi,NCT WISH,Yushi,"""엔시티위시"" 유우시",,
nct_wish__jaehee,NCT WISH,Jaehee,"""엔시티위시"" 재희",,
nct_wish__ryo,NCT WISH,Ryo,"""엔시티위시"" 료",,
nct_wish__sakuya,NCT WISH,Sakuya,"""엔시티위시"" 사쿠야",,
tws__shinyu,TWS,Shinyu,"""투어스"" 신유",,
tws__dohoon,TWS,Dohoon,"""투어스"" 도훈",,
tws__youngjae,TWS,Youngjae,"""투어스"" 영재",,
tws__hanjin,TWS,Hanjin,"""투어스"" 한진",,
tws__jihoon,TWS,Jihoon,"""투어스"" 지훈",,
tws__kyungmin,TWS,Kyungmin,"""투어스"" 경민",,
seventeen__scoups,SEVENTEEN,S.Coups,"""세븐틴"" 에스쿱스",,
seventeen__jeonghan,SEVENTEEN,Jeonghan,"""세븐틴"" 정한",,
seventeen__joshua,SEVENTEEN,Joshua,"""세븐틴"" 조슈아",,
seventeen__jun,SEVENTEEN,Jun,"""세븐틴"" 준",,
seventeen__hoshi,SEVENTEEN,Hoshi,"""세븐틴"" 호시",,
seventeen__wonwoo,SEVENTEEN,Wonwoo,"""세븐틴"" 원우",,
seventeen__woozi,SEVENTEEN,Woozi,"""세븐틴"" 우지",,
seventeen__dk,SEVENTEEN,DK,"""세븐틴"" 도겸",,
seventeen__mingyu,SEVENTEEN,Mingyu,"""세븐틴"" 민규",,
seventeen__the8,SEVENTEEN,The8,"""세븐틴"" 디에잇",,
seventeen__seungkwan,SEVENTEEN,Seungkwan,"""세븐틴"" 승관",,
seventeen__vernon,SEVENTEEN,Vernon,"""세븐틴"" 버논",,
seventeen__dino,SEVENTEEN,Dino,"""세븐틴"" 디노",,
super_junior__leeteuk,SUPER JUNIOR,Leeteuk,"""슈퍼주니어"" 이특",,
super_junior__heechul,SUPER JUNIOR,Heechul,"""슈퍼주니어"" 희철",,
super_junior__yesung,SUPER JUNIOR,Yesung,"""슈퍼주니어"" 예성",,
super_junior__shindong,SUPER JUNIOR,Shindong,"""슈퍼주니어"" 신동",,
super_junior__eunhyuk,SUPER JUNIOR,Eunhyuk,"""슈퍼주니어"" 은혁",,
super_junior__donghae,SUPER JUNIOR,Donghae,"""슈퍼주니어"" 동해",,
super_junior__siwon,SUPER JUNIOR,Siwon,"""슈퍼주니어"" 시원",,
super_junior__ryeowook,SUPER JUNIOR,Ryeowook,"""슈퍼주니어"" 려욱",,
super_junior__kyuhyun,SUPER JUNIOR,Kyuhyun,"""슈퍼주니어"" 규현",,
nexz__tomoya,NEXZ,Tomoya,"""넥스지"" 토모야",,
nexz__yu,NEXZ,Yu,"""넥스지"" 유우",,
nexz__haru,NEXZ,Haru,"""넥스지"" 하루",,
nexz__so_geon,NEXZ,So Geon,"""넥스지"" 소건",,
nexz__seita,NEXZ,Seita,"""넥스지"" 세이타",,
nexz__hyui,NEXZ,Hyui,"""넥스지"" 휴이",,
nexz__yuki,NEXZ,Yuki,"""넥스지"" 유키",,
dxmon__minjae,DXMON,Minjae,"""다이몬"" 민재",,
dxmon__seita,DXMON,Seita,"""다이몬"" 세이타",,
dxmon__hee,DXMON,Hee,"""다이몬"" 히",,
dxmon__tk,DXMON,TK,"""다이몬"" TK",,
dxmon__rex,DXMON,Rex,"""다이몬"" 렉스",,
nchive__ha_l,NCHIVE,HA.L,"""엔카이브"" 하엘",,
nchive__e_an,NCHIVE,E.aN,"""엔카이브"" 이안",,
nchive__kangsan,NCHIVE,Kangsan,"""엔카이브"" 강산",,
nchive__yuchan,NCHIVE,Yuchan,"""엔카이브"" 유찬",,
nchive__juyoung,NCHIVE,Juyoung,"""엔카이브"" 주영",,
nchive__n,NCHIVE,N,"""엔카이브"" 엔",,
allhours__kunho,ALL(H)OURS,Kunho,"""올아워즈"" 건호",,
allhours__youmin,ALL(H)OURS,Youmin,"""올아워즈"" 유민",,
allhours__xayden,ALL(H)OURS,Xayden,"""올아워즈"" 제이든",,
allhours__minje,ALL(H)OURS,Minje,"""올아워즈"" 민제",,
allhours__masami,ALL(H)OURS,Masami,"""올아워즈"" 마사미",,
allhours__hyunbin,ALL(H)OURS,Hyunbin,"""올아워즈"" 현빈",,
allhours__on_n,ALL(H)OURS,ON:N,"""올아워즈"" 온",,
idid__jang_yonghoon,IDID,Jang Yonghoon,"""아이딧"" 장용훈",,
